carta_id,nro_carta,titulo,pagina,tipo_entidad,texto
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",1,date,"Febrero 27"" de 1761"""
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",1,date,"Abril 1"" de 1761"""
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",1,date,3” de Diciembre 759
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",1,date,"11” de Noviembre de

1760”"
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",6,date,"Lima y Agoᵗᵒ 27"" de 1761"""
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",1,date,"Lima y Octubre 26” de

1761”"
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",1,date,27” deAgoᵗᵒ
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",2,date,de 1761”
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",1,date,"Junio 24” de

1762"
"06_5318583_box1_f6_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8",6,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8/10/1762)",1,date,"10 de Agosto de

1762."
"06_5318583_box1_f6_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8",6,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8/10/1762)",1,date,30 de Agosto de 61
"07_5318583_box1_f7_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",7,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",1,date,13 de Agosto de 1762.
"08_5318583_box1_f7b_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",8,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",1,date,13 de Agosto de 1762.
"09_5318583_box1_f8_Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa",9,"Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa Carrillo de Albornoz (8/13/1762)",1,date,17 de Agosto de 1762%
"10_5318583_box1_f8b_Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa",10,"Letter from Diego José, Fifth Count of Montemar to Isabel de la Presa Carrillo de Albornoz (8/13/1762)",1,date,"17 de Agosto de

1762"
"11_5318583_box1_f9_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",11,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/14/1762)",1,date,14 de Diʳᵉ de 1762.
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",1,date,4 de henᵒ de 1763.
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",11,date,25 de Abril de 1763%
"14_5318583_box1_f12_Letter from Diego José, Fifth Count of Montemar to Christobal Mesia y",14,"Letter from Diego José, Fifth Count of Montemar to Christobal Mesia y Munive, Count of Sierrabella (8/23/1763)",7,date,"23 de

Agosto de 1763"
"15_5318583_box1_f13_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",15,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/6/1763)",1,date,6 de Dizᵉ de 1763
"16_5318583_box1_f14_Letter from Diego José, Fifth Count of Montemar to unkown (12_13_1763)",16,"Letter from Diego José, Fifth Count of Montemar to unkown (12/13/1763)",1,date,13 de Dizᵉ de 1763
17_5318583_box1_f15_Letter from Marquis of Lara to Mathias de la Vega (12_29_1763),17,Letter from Marquis of Lara to Mathias de la Vega (12/29/1763),1,date,y Dizᵉ 29 de 1763 ./.
"18_5318583_box1_f16_Letter from Diego José, Fifth Count of Montemar to Count of Castillejo",18,"Letter from Diego José, Fifth Count of Montemar to Count of Castillejo (7/24/1764)",1,date,24 de Julio de 1764.
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",1,date,24 deOctᵉ de1764
20_5318583_box1_f18_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,20,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (1/3/1765)",1,date,Enero 3” de 1765”
"21_5318583_box1_f19_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",21,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/23/1765)",1,date,23 de henᵒ de1765
"22_5318583_box1_f20_Letter from Diego José, Fifth Count of Montemar to unknown (1_29_1765)",22,"Letter from Diego José, Fifth Count of Montemar to unknown (1/29/1765)",1,date,29 de henᵒ de1765
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",1,date,9 de Marzo de 1765
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",4,date,1ᵒ de octᵉ de 1763
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",7,date,"24 de julio de este año

pasado de 764"
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",12,date,23 de Sepᵉ de 1758
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",1,date,"Marzo 30""

de1765"""
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",9,date,Abril 2 de 1765”
"25_5318583_box1_f23_Letter from Diego José, Fifth Count of Montemar to Nicolás Manrique de",25,"Letter from Diego José, Fifth Count of Montemar to Nicolás Manrique de Lara (8/20/1765)",1,date,20 de Agᵗᵒ de1765
"26_5318583_box1_f24_Letter from a friend to Diego José, Fifth Count of Montemar (9_29_1765",26,"Letter from a friend to Diego José, Fifth Count of Montemar (9/29/1765)",1,date,29 de 7ᵇʳᵉ de 65
"27_5318583_box1_f25_Letter from Joseph Portocarrero Pallarés, Knight of the Order of Santi",27,"Letter from Joseph Portocarrero Pallarés, Knight of the Order of Santiago to Marquis of Lara (11/14/1765)",2,date,"Novᵉ 14 de

1765."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",1,date,23 deNovʳᵉ de1765
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",4,date,"22 de

Abril de 50"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",6,date,"24 de Octᵉ

de 1743"
