carta_id,nro_carta,titulo,pagina,tipo_marca,subtipo,texto,texto_del,texto_add,posicion_add
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",1,del,,junto con otros papeles selos,junto con otros papeles selos,,
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",3,del,,an,an,,
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",7,del,,caso que,caso que,,
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",9,del,,rreconociendo,rreconociendo,,
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",10,del,,esto,esto,,
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",6,del,,desea,desea,,
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",6,del,,rremi,rremi,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",2,del,,del presente,del presente,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",2,del,,este,este,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",4,del,,que no abia,que no abia,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",7,del,,nos,nos,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",9,del,,con,con,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",10,del,,selo yeba,selo yeba,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",10,del,,ado,ado,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",11,del,,tratarme,tratarme,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",1,del,,rrestablecimiento,rrestablecimiento,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",1,del,,en,en,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",2,del,,"a

loque","a

loque",,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",2,del,,me,me,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",2,del,,yncomodado â mi,yncomodado â mi,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",2,del,,con,con,,
