carta_id,nro_carta,titulo,pagina,tipo_marca,subtipo,texto,texto_del,texto_add,posicion_add
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",12,gap,illegible,[GAP_illegible],,,
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",2,gap,unclear,[GAP_unclear],,,
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",4,gap,unclear,[GAP_unclear],,,
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",4,gap,unclear,[GAP_unclear],,,
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",4,gap,damage,[GAP_damage],,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",8,gap,unclear,[GAP_unclear],,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",10,gap,unclear,[GAP_unclear],,,
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",11,gap,unclear,[GAP_unclear],,,
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",8,gap,illegible,[GAP_illegible],,,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",2,gap,unclear,[GAP_unclear],,,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",2,gap,unclear,[GAP_unclear],,,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",3,gap,unclear,[GAP_unclear],,,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",5,gap,,[GAP_gap],,,
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",6,gap,unclear,[GAP_unclear],,,
20_5318583_box1_f18_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,20,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (1/3/1765)",8,gap,illegible,[GAP_illegible],,,
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",3,gap,illegible,[GAP_illegible],,,
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",5,gap,illegible,[GAP_illegible],,,
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",15,gap,illegible,[GAP_illegible],,,
"26_5318583_box1_f24_Letter from a friend to Diego José, Fifth Count of Montemar (9_29_1765",26,"Letter from a friend to Diego José, Fifth Count of Montemar (9/29/1765)",1,gap,unclear,[GAP_unclear],,,
"26_5318583_box1_f24_Letter from a friend to Diego José, Fifth Count of Montemar (9_29_1765",26,"Letter from a friend to Diego José, Fifth Count of Montemar (9/29/1765)",2,gap,damaged,[GAP_damaged],,,
"27_5318583_box1_f25_Letter from Joseph Portocarrero Pallarés, Knight of the Order of Santi",27,"Letter from Joseph Portocarrero Pallarés, Knight of the Order of Santiago to Marquis of Lara (11/14/1765)",1,gap,unclear,[GAP_unclear],,,
"32_5318583_box1_f30_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",32,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (12/3/1765)",4,gap,unclear,[GAP_unclear],,,
"32_5318583_box1_f30_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",32,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (12/3/1765)",4,gap,unclear,[GAP_unclear],,,
