carta_id,nro_carta,titulo,pagina,tipo_entidad,texto
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",3,name,consesion de Negros
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",6,name,cofradia de Sⁿ Franᶜᵒ
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",8,name,Audiencia
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",1,name,Galera esperanza
02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",2,name,"Sⁿ , Juan Bapᵗᵃ"
03_5318583_box1_f3_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,3,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (8/27/1761)",6,name,la Esperanza
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",1,name,Sⁿ Jph el Peruano (alias la Esperanza)
04_5318583_box1_f4_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,4,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (10/26/1761)",2,name,Audiencia
05_5318583_box1_f5_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,5,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (6/24/1762)",6,name,San Miguel
"06_5318583_box1_f6_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8",6,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8/10/1762)",7,name,la Ermione
"07_5318583_box1_f7_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",7,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",1,name,Ermione
"08_5318583_box1_f7b_Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carri",8,"Letter from Diego José, Fifth Count of Montemar to Juan Bautista Carrillo de Albornoz y Bravo de Lagunas (8/13/1762)",1,name,Ermione
"11_5318583_box1_f9_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",11,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/14/1762)",1,name,"el

torero"
"11_5318583_box1_f9_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12",11,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (12/14/1762)",3,name,torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",1,name,"el

Torero"
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",1,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",2,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",2,name,sⁿ Franᵒ Xavier
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",2,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",2,name,"Sⁿ Franᵒ

Xavier"
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",4,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",7,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",7,name,el Diamᵗᵉ
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",7,name,el torero
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",7,name,Diamᵗᵉ
"19_5318583_box1_f17_Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de",19,"Letter from Diego José, Fifth Count of Montemar to Joseph Perfecto de Salas (10/24/1764)",3,name,mayorasgo de Presa
20_5318583_box1_f18_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,20,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (1/3/1765)",1,name,"el

torero"
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",1,name,la Ventura
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",4,name,Placeres
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",7,name,Fragata Liebre
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",8,name,Sⁿ Miguel
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",8,name,el Diamᵉ
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",8,name,Sⁿ Miguel
"23_5318583_box1_f21_Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3",23,"Letter from Marquis of Lara to Diego José, Fifth Count of Montemar (3/9/1765)",15,name,Placeres
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",1,name,plaseres
24_5318583_box1_f22_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,24,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (3/30/1765)",8,name,Abentura
"25_5318583_box1_f23_Letter from Diego José, Fifth Count of Montemar to Nicolás Manrique de",25,"Letter from Diego José, Fifth Count of Montemar to Nicolás Manrique de Lara (8/20/1765)",1,name,la Bentura
