carta_id,nro_carta,titulo,pagina,tipo_entidad,texto
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",5,quote,"cuidado no dejen esto dela mano qᵉ

ymporta mucho amiMayorasgo:"
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",6,quote,"En 22 de este mes de octubre año de 1622” Dᵃ Ysabel Brescia , vendio ala capellania qᵉ Diego dela Prresa mando fundar, y se bendio

ala cofradia de Sⁿ Franᶜᵒ 141”

P 20 rr~ de rrenta y pencion en cada un año por 2824” de principal como"
01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos,1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",7,quote,"mas largamᵗᵉ parese dela

escritura antemi Diego Sanches badillo Esⁿ ᵒ Publico%"
"06_5318583_box1_f6_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8",6,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (8/10/1762)",3,quote,"“enquanto ala nueva imposicion de los 9D Dobˢ que estan

en la Compᵃ de Paños, protextote, que me tiemblan las carnes

de considerar se saque este caudal de donde le dejó impuesto la madura consideraⁿ demi hermano; pero fiando de ti Vᵃ ,

te remitiré el poder nezesario por el Cavo , y consultaras el

asumpto con Pernia Vᵃ ”"
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",2,quote,"Con dⁿ Juan Agustin de Uztariz , sugeto aqui de los del primer

credito, y consuobligaⁿ particular deabono, tengo tratado

dedar asus Primos los Sᵉˢ Uztariz hermˢ pᵃ el Navio Sⁿ Franᵒ

Xavier con la consignaⁿ del riesgo, sobre

efectos de 65 d_pˢ apagar en Lima

alos quatro meses de llegado, y ha de recivir el Dinero en la cercania desu

salida pasadas las obligaᵉˢ deeste caso, con el premio de

35 p% y en esta negociaⁿ tengo a VS. interesado en los 8

d_ps como dita mui segura, y sino pudiere vencer aldho dⁿ Juan Agustin para que se hagan tantas esʳᵃˢ , quantas

tiene de interesados eldho caudal envecinos de Lima , se

hará una apagar al Sʳ dⁿ Luis Carrillo , ausente al Sʳ Marques de Lara ami favor, yen otra esʳᵃ declararé los ynteresados aquien perteneze, yde cuia cuenta y riesgo

se han puesto al riesgo, lo que participo aVS para que no lo ignore"
"12_5318583_box1_f10_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",12,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/4/1763)",3,quote,"y que alas vezes es menester contemplar al

buen deudor, y quedo pᵃ servirle V. Mathias de

Landaburu"
"21_5318583_box1_f19_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1",21,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (1/23/1765)",2,quote,"“Y en quanto al Dinero â riesgo, como tengo amuchos aquienes contentar con

iguadad, me pareze, que sino el todo delo que V.S. me tiene pedido dar a riesgo,

quedará servido en lo mas, y espero dar la positiba razon pᵃ el correo que viene, (y aun no ha respondido) y la libranza de lo qᵉ importare, hirá al sʳ

Marques.”"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",1,quote,"“Martes 5 del pnte á las 11½

del dia, llenó mi Prima Dᵃ Ysavel el terⁿᵒ de su vida, y por lo

que haze asus disposiciones bien atropelladas aunque executadas en todo su

acuerdo, me remito alo qᵉ te dirá

Nicolasito por lo que ha concevido deellas."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",1,quote,"“y en quanto

asus disposizᵉˢ executadas con apresuraⁿ por lo que instaba su accidente, me remito alo que detodas ellas te

hace constar"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",2,quote,"tu hermᵒ Pedro , aquien nombró por su heredero en el remaniente de

sus vienes satisfechas sus deudas, que se acercan â 50 Dpˢ , aun estendiendose dhos vienes al drô que dize tener a los de ntrô

Pᵉ por las deudas que de él

pagó, y caudal suio impendido en la casa de la concepcion”."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",4,quote,"“Supuesto este travajo, que no parece puede tener

igual para esta tu casa, combiene que sépas el estado en que oy quedan los"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",5,quote,"intereses de tu Pᵉ , tus fincas, y las mias, que unas y

otras han compuesto como tu saves, un caudal para la

subsistencia de todos"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",5,quote,"""tal vez disputable por tus demas

hermˢ y especialmᵗᵉ de

Juanito , lo que Dios no quiera permita, por

ser cosa mui estraña en nuestras familias, enqᵉ tan de

conformidad siempre se han visto los intereses deellas”."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",6,quote,"“haberle dado ami Padre para mi

viage 40Dpˢ pᵃ que los condugese

yo â España , como otras cantidades que despues de mi viage

le dió con el fin de que tubiese este caudal para las pretensiones que me

ocurriesesn, y fuesen utiles asu subsistencia, y abeneficio

de mis hermˢ .”"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",6,quote,"“Para tus

pretensiones llevas en Dobˢ 15 Dpˢ , alo que agregaras los 6D, que le entregué a Dⁿ Jph Hurtado , en la propria moneda, y mas los 4D que llevó

Santisteban , que hacen todos 25Dpˢ : mas cobraras los 15Dpˢ que estan en el

collegio impˡ de la Corte, por el ynstrumᵗᵒ que llevas en tu escrivania, y poderes mios pᵃ esto, y todo”."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",12,quote,"“Destinas Aymaraes y

Conchucos para mi, lo que te he estimado mucho, y lo

que siempre te he expresado, reproduzco, diciendote que estos se indiran

abeneficio de todos Vmâs, y desaogo de tu casa, por no ser otra mi mira que

esta. Despues de salir del desaogo de tus hermanas"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",13,quote,"restan otros cuidados, y pues atodos es

preciso el irles dando destino. Dios me dé el Consuelo de

verlos atodos remediados”."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",13,quote,"“Poco

tpô haze que sé pára enpoder de Juan la Cedula de

Quispicanchi , ojala hubiera estado en mi poder, que sin

que te sehubiera descaminado un Rˡ te pudieras hallar con

mucho dinero, por que seproporcionó persona que lo solicitase por mano de tu tio

Dⁿ Pedro. Cree que todos practicaremos el devido

esfuerzo afin de que se le dé la maior estimaⁿ y tú experimentes no poco desaogo""."
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",17,quote,"“los 12Dpˢ en alajas se le juntaron con los de

Marianita posponiendo atus hermˢ lo qᵉ aunque no se deve hacer,

yo lo executo, por que les compensaré con las mias; por esta razon expreso en la

carta de"
"28_5318583_box1_f26_Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11",28,"Letter from Diego José, Fifth Count of Montemar to Marquis of Lara (11/23/1765)",18,quote,"dote, que lo qᵉ lleva mas de aquello qᵉ por

lexᵐᵃ le toca, yo se lo doi de

mi peculio”."
