nro_carta,f_id,titulo,url,page_num,page_id,archivo_html,archivo_txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,1,page-1,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_001.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_001.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,2,page-2,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_002.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_002.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,3,page-3,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_003.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_003.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,4,page-4,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_004.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_004.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,5,page-5,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_005.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_005.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,6,page-6,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_006.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_006.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,7,page-7,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_007.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_007.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,8,page-8,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_008.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_008.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,9,page-9,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_009.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_009.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,10,page-10,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_010.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_010.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,11,page-11,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_011.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_011.txt
1,5318583_box1_f1,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (2/27/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f1?f=5318583_box1_f1&pages=12,12,page-12,montemar_transcripciones\html_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_012.html,montemar_transcripciones\txt_por_pagina\01_5318583_box1_f1_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_012.txt
2,5318583_box1_f2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f2?f=5318583_box1_f2&pages=4,1,page-1,montemar_transcripciones\html_por_pagina\02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_001.html,montemar_transcripciones\txt_por_pagina\02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_001.txt
2,5318583_box1_f2,"Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego José, Fifth Count of Montemar (4/1/1761)",https://montemar.library.illinois.edu/Home/Letter/5318583_box1_f2?f=5318583_box1_f2&pages=4,2,page-2,montemar_transcripciones\html_por_pagina\02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_002.html,montemar_transcripciones\txt_por_pagina\02_5318583_box1_f2_Letter from Pedro Carrillo de Albornoz y Bravo de Lagunas to Diego Jos_page_002.txt
